10,10,10
3.76720451,3.32036346,3.43637928
3.48727209,3.13393936,3.22716513
3.24326741,2.97293510,3.04616270
3.05036804,2.84631231,2.90323983
2.90378133,2.75013974,2.79403595
2.79403126,2.67785912,2.71134637
2.71212411,2.62351252,2.64864347
2.65084272,2.58243015,2.60080918
2.60474746,2.55113949,2.56402773
2.56983991,2.52710484,2.53550055
2.54320570,2.50848076,2.51317911
2.52272170,2.49391959,2.49555725
2.50683597,2.48243091,2.48151970
2.49440819,2.47328150,2.47023409
2.48459547,2.46592432,2.46107422
2.47677097,2.45994828,2.45356543
2.47046568,2.45504227,2.44734537
2.46532662,2.45096929,2.44213565
2.46108668,2.44754772,2.43772108
2.45754265,2.44463760,2.43393442
2.45453921,2.44213047,2.43064506
2.45195703,2.43994190,2.42775050
2.44970412,2.43800586,2.42516998
2.44770917,2.43627049,2.42283959
2.44591679,2.43469485,2.42070860
2.44428370,2.43324657,2.41873657
2.44277604,2.43189989,2.41689117
2.44136718,2.43063427,2.41514650
2.44003612,2.42943328,2.41348170
2.43876627,2.42828372,2.41187996
2.43754443,2.42717494,2.41032769
2.43636011,2.42609834,2.40881387
2.43520493,2.42504695,2.40732951
2.43407217,2.42401509,2.40586732
2.43295642,2.42299811,2.40442131
2.43185331,2.42199222,2.40298658
2.43075931,2.42099427,2.40155909
2.42967151,2.42000167,2.40013552
2.42858757,2.41901229,2.39871310
2.42750552,2.41802431,2.39728954
2.42642377,2.41703625,2.39586291
2.42534096,2.41604682,2.39443163
2.42425596,2.41505494,2.39299431
2.42316780,2.41405971,2.39154982
2.42207567,2.41306031,2.39009717
2.42097884,2.41205606,2.38863552
2.41987670,2.41104637,2.38716413
2.41876870,2.41003068,2.38568236
2.41765435,2.40900853,2.38418966
2.41653319,2.40797950,2.38268553
2.41540482,2.40694318,2.38116953
2.41426886,2.40589923,2.37964124
2.41312497,2.40484732,2.37810032
2.41197280,2.40378714,2.37654641
2.41081206,2.40271839,2.37497923
2.40964243,2.40164081,2.37339847
2.40846363,2.40055414,2.37180387
2.40727537,2.39945812,2.37019518
2.40607738,2.39835251,2.36857216
2.40486940,2.39723708,2.36693457
2.40365116,2.39611159,2.36528220
2.40242240,2.39497583,2.36361484
2.40118287,2.39382958,2.36193229
2.39993232,2.39267262,2.36023435
2.39867050,2.39150473,2.35852083
2.39739716,2.39032571,2.35679156
2.39611206,2.38913535,2.35504634
2.39481495,2.38793344,2.35328501
2.39350559,2.38671978,2.35150741
2.39218374,2.38549417,2.34971336
2.39084916,2.38425640,2.34790272
2.38950161,2.38300627,2.34607531
2.38814086,2.38174359,2.34423101
2.38676667,2.38046816,2.34236965
2.38537881,2.37917978,2.34049110
2.38397703,2.37787825,2.33859522
2.38256111,2.37656338,2.33668188
2.38113083,2.37523498,2.33475094
2.37968593,2.37389285,2.33280229
2.37822621,2.37253679,2.33083579
2.37675143,2.37116662,2.32885134
2.37526136,2.36978215,2.32684882
2.37375578,2.36838319,2.32482812
2.37223446,2.36696954,2.32278914
2.37069719,2.36554103,2.32073178
2.36914375,2.36409745,2.31865595
2.36757391,2.36263864,2.31656155
2.36598746,2.36116441,2.31444849
2.36438418,2.35967456,2.31231671
2.36276386,2.35816893,2.31016611
2.36112630,2.35664733,2.30799663
2.35947127,2.35510958,2.30580820
2.35779858,2.35355550,2.30360076
2.35610802,2.35198493,2.30137425
2.35439939,2.35039768,2.29912863
2.35267250,2.34879358,2.29686383
2.35092713,2.34717247,2.29457982
2.34916311,2.34553417,2.29227656
2.34738023,2.34387852,2.28995402
2.34557832,2.34220535,2.28761218
2.34375718,2.34051450,2.28525100
2.34191664,2.33880582,2.28287048
2.34005651,2.33707914,2.28047060
2.33817663,2.33533430,2.27805136
2.33627682,2.33357116,2.27561275
2.33435691,2.33178956,2.27315479
2.33241675,2.32998935,2.27067747
2.33045616,2.32817040,2.26818082
2.32847500,2.32633255,2.26566485
2.32647311,2.32447566,2.26312960
2.32445035,2.32259961,2.26057509
2.32240658,2.32070425,2.25800136
2.32034165,2.31878946,2.25540846
2.31825543,2.31685510,2.25279643
2.31614779,2.31490106,2.25016532
2.31401862,2.31292721,2.24751520
2.31186778,2.31093343,2.24484612
2.30969518,2.30891961,2.24215816
